model,model_norm,brand,device_name,drawings_declared,drawings_found,has_pdf,parts_count,has_parts_list,catalog_status,header_confidence,action_required
75662,75662,FALA,75662,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75663,75663,FALA,75663,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75664,75664,FALA,75664,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75665,75665,FALA,75665,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75670,75670,FALA,75670,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75671,75671,FALA,75671,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75672,75672,FALA,75672,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75673,75673,FALA,75673,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75674,75674,FALA,75674,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75685,75685,FALA,75685,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75686,75686,FALA,75686,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75687,75687,FALA,75687,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75688,75688,FALA,75688,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75689,75689,FALA,75689,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75705,75705,FALA,75705 75706 75707 75708 75709 75710 75711 75712,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75716,75716,FALA,75716,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75719,75719,FALA,75719,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75740,75740,FALA,75740,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75742,75742,FALA,75742,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75743,75743,FALA,75743,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75745,75745,FALA,75745,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75747,75747,FALA,75747,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75748,75748,FALA,75748,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75749,75749,FALA,75749,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75760,75760,FALA,75760,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75762,75762,FALA,75762,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75763,75763,FALA,75763,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75764,75764,FALA,75764,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75765,75765,FALA,75765,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75767,75767,FALA,75767,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75768,75768,FALA,75768,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75770,75770,FALA,75770,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75772,75772,FALA,75772,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75773,75773,FALA,75773,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75774,75774,FALA,75774,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75775,75775,FALA,75775 75776 75777 75778 75779,2,2,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75804,75804,FALA,75804,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75805,75805,FALA,75805,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75807,75807,FALA,75807,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75808,75808,FALA,75808,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75809,75809,FALA,75809,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75811,75811,FALA,75811,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75812,75812,FALA,75812,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75813,75813,FALA,75813,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75814,75814,FALA,75814,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75815,75815,FALA,75815,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75816,75816,FALA,75816,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75817,75817,FALA,75817,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75818,75818,FALA,75818,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75827,75827,FALA,75827,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75828,75828,FALA,75828,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75829,75829,FALA,75829,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75830,75830,FALA,75830,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75831,75831,FALA,75831,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75832,75832,FALA,75832,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75833,75833,FALA,75833,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75835,75835,FALA,75835,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75836,75836,FALA,75836,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75837,75837,FALA,75837,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75838,75838,FALA,75838,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75880,75880,FALA,75880,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75881,75881,FALA,75881,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75882,75882,FALA,75882,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75883,75883,FALA,75883,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75884,75884,FALA,75884,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75885,75885,FALA,75885,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75886,75886,FALA,75886,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
75887,75887,FALA,75887,1,1,TAK,0,NIE,pdf-only,,OCR / ręczne wyciągnięcie listy części
