file_id,model,model_norm,brand,title,file_name,folder,viewer_url,download_url,status,review_status,brand_confidence,models_in_pdf,action_required
12qH9x3tYNs3DIFmNCtaAEEy0ZWOsFS1-,79444,79444,FLO,Czesci_zamienne_79444.pdf,Czesci_zamienne_79444.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/12qH9x3tYNs3DIFmNCtaAEEy0ZWOsFS1-/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=12qH9x3tYNs3DIFmNCtaAEEy0ZWOsFS1-,OK,confirmed_or_hard_rule,confirmed,79444,OK
1DhOG_4gCUYlp-nRedfJTSnpNRrHqhzkp,79467,79467,FLO,Czesci_zamienne_79467.pdf,Czesci_zamienne_79467.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/1DhOG_4gCUYlp-nRedfJTSnpNRrHqhzkp/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1DhOG_4gCUYlp-nRedfJTSnpNRrHqhzkp,OK,confirmed_or_hard_rule,confirmed,79467,OK
1D636X69gLB38HaCUMzGMqQfYxohWIBQt,73060,73060,LUND,Czesci_zamienne_73060.pdf,Czesci_zamienne_73060.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/1D636X69gLB38HaCUMzGMqQfYxohWIBQt/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1D636X69gLB38HaCUMzGMqQfYxohWIBQt,OK,confirmed_or_hard_rule,confirmed,73060,OK
1QFjDcOKcVO1RuFhU-5jb8vQLpIe8d0Ob,79004,79004,LUND,Czesci_zamienne_79004.pdf,Czesci_zamienne_79004.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/1QFjDcOKcVO1RuFhU-5jb8vQLpIe8d0Ob/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1QFjDcOKcVO1RuFhU-5jb8vQLpIe8d0Ob,OK,confirmed_or_hard_rule,confirmed,79004,OK
1tqE-_TBiUPGOPfgb0tANJE8ZW75npZqK,79024,79024,LUND,Czesci_zamienne_79024.pdf,Czesci_zamienne_79024.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/1tqE-_TBiUPGOPfgb0tANJE8ZW75npZqK/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1tqE-_TBiUPGOPfgb0tANJE8ZW75npZqK,OK,confirmed_or_hard_rule,confirmed,79024,OK
1K5ErBbwCA0d7TZ9pDKu3fhRC_SSIIIeG,79096,79096,LUND,Czesci_zamienne_79096.pdf,Czesci_zamienne_79096.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/1K5ErBbwCA0d7TZ9pDKu3fhRC_SSIIIeG/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1K5ErBbwCA0d7TZ9pDKu3fhRC_SSIIIeG,OK,confirmed_or_hard_rule,confirmed,79096,OK
13h5yw0iIUuS1mWwRce2L0_iXrKnWtvL8,79098,79098,LUND,Czesci_zamienne_79098.pdf,Czesci_zamienne_79098.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/13h5yw0iIUuS1mWwRce2L0_iXrKnWtvL8/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=13h5yw0iIUuS1mWwRce2L0_iXrKnWtvL8,OK,confirmed_or_hard_rule,confirmed,79098,OK
160OFy9Bo1-hscX8yz_zLNyPCJreLfqi_,79106,79106,LUND,Czesci_zamienne_79106.pdf,Czesci_zamienne_79106.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/160OFy9Bo1-hscX8yz_zLNyPCJreLfqi_/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=160OFy9Bo1-hscX8yz_zLNyPCJreLfqi_,OK,confirmed_or_hard_rule,confirmed,79106,OK
1xGORqr7JyddiBNWaZigBRYbMZPROm0HU,79005,79005,STHOR,Czesci_zamienne_79005.pdf,Czesci_zamienne_79005.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/1xGORqr7JyddiBNWaZigBRYbMZPROm0HU/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1xGORqr7JyddiBNWaZigBRYbMZPROm0HU,OK,confirmed_or_hard_rule,confirmed,79005,OK
1H0FiaXuSgiw4FIkBp5sbkhWJiu7RmMOK,79030,79030,STHOR,Czesci_zamienne_79030.pdf,Czesci_zamienne_79030.pdf,Rysunki wybuchowe,https://drive.google.com/file/d/1H0FiaXuSgiw4FIkBp5sbkhWJiu7RmMOK/view?usp=drivesdk,https://drive.google.com/uc?export=download&id=1H0FiaXuSgiw4FIkBp5sbkhWJiu7RmMOK,OK,confirmed_or_hard_rule,confirmed,79030,OK
