model_norm,in_drawings_json,in_drive_manifest,drawings_count,drive_rows_count,parts_count
00300,TAK,TAK,1,1,36
00320,TAK,TAK,1,1,36
00500,TAK,TAK,1,1,27
00510,TAK,TAK,1,1,32
00600,TAK,TAK,1,1,27
00610,TAK,TAK,1,1,32
00703,TAK,TAK,1,1,36
01060,TAK,TAK,1,1,29
09900,TAK,TAK,1,1,4
09903,TAK,TAK,1,1,0
53575,TAK,TAK,1,1,0
53576,TAK,TAK,1,1,0
53577,TAK,TAK,1,1,0
55820,TAK,TAK,1,1,0
57090,TAK,TAK,1,1,0
57091,TAK,TAK,1,1,0
57092,TAK,TAK,1,1,0
57097,TAK,TAK,1,1,0
58539,TAK,TAK,1,1,0
58540,TAK,TAK,1,1,0
58550,TAK,TAK,1,1,0
58643,TAK,TAK,1,1,0
58661,TAK,TAK,1,1,0
58687,TAK,TAK,1,1,0
58689,TAK,TAK,1,1,0
58690,TAK,TAK,1,1,0
58691,TAK,TAK,1,1,0
58700,TAK,TAK,1,1,0
66841,TAK,TAK,1,1,0
66842,TAK,TAK,1,1,0
66930,TAK,TAK,1,1,0
66932,TAK,TAK,1,1,0
66934,TAK,TAK,1,1,0
66936,TAK,TAK,1,1,0
66940,TAK,TAK,1,1,0
66950,TAK,TAK,1,1,0
67026,TAK,TAK,1,1,0
67032,TAK,TAK,1,1,0
67033,TAK,TAK,1,1,0
67034,TAK,TAK,1,1,0
67090,TAK,TAK,1,1,0
67091,TAK,TAK,1,1,0
67092,TAK,TAK,1,1,0
67110,TAK,TAK,1,1,0
67111,TAK,TAK,1,1,0
67112,TAK,TAK,1,1,0
67113,TAK,TAK,1,1,0
67120,TAK,TAK,1,1,0
67121,TAK,TAK,1,1,0
67125,TAK,TAK,1,1,0
67180,TAK,TAK,1,1,0
67200,TAK,TAK,1,1,0
67201,TAK,TAK,1,1,0
67220,TAK,TAK,1,1,0
67221,TAK,TAK,1,1,0
67230,TAK,TAK,1,1,0
67231,TAK,TAK,1,1,0
67292,TAK,TAK,1,1,0
67293,TAK,TAK,1,1,0
67420,TAK,TAK,1,1,0
67422,TAK,TAK,1,1,0
67423,TAK,TAK,1,1,0
67424,TAK,TAK,1,1,0
67450,TAK,TAK,1,1,0
67451,TAK,TAK,1,1,0
67453,TAK,TAK,1,1,0
67455,TAK,TAK,1,1,0
67456,TAK,TAK,1,1,0
67457,TAK,TAK,1,1,0
67458,TAK,TAK,1,1,0
67460,TAK,TAK,1,1,0
67470,TAK,TAK,1,1,0
67480,TAK,TAK,1,1,0
67500,TAK,TAK,1,1,0
67501,TAK,TAK,1,1,0
67520,TAK,TAK,1,1,0
67521,TAK,TAK,1,1,0
67522,TAK,TAK,1,1,0
67523,TAK,TAK,1,1,0
67525,TAK,TAK,1,1,0
67526,TAK,TAK,1,1,0
67527,TAK,TAK,1,1,0
67528,TAK,TAK,1,1,0
67530,TAK,TAK,1,1,0
67570,TAK,TAK,1,1,0
67571,TAK,TAK,1,1,0
67572,TAK,TAK,1,1,0
67573,TAK,TAK,1,1,0
67574,TAK,TAK,1,1,0
67575,TAK,TAK,1,1,0
67576,TAK,TAK,1,1,0
67580,TAK,TAK,1,1,0
67581,TAK,TAK,1,1,0
67582,TAK,TAK,1,1,0
67584,TAK,TAK,1,1,0
67590,TAK,TAK,1,1,0
67640,TAK,TAK,1,1,0
67641,TAK,TAK,1,1,0
67642,TAK,TAK,1,1,0
67660,TAK,TAK,1,1,0
67661,TAK,TAK,1,1,0
67700,TAK,TAK,1,1,0
67701,TAK,TAK,1,1,0
67702,TAK,TAK,1,1,0
67703,TAK,TAK,1,1,0
67704,TAK,TAK,1,1,0
67705,TAK,TAK,1,1,0
67707,TAK,TAK,1,1,0
67780,TAK,TAK,1,1,0
67781,TAK,TAK,1,1,0
67790,TAK,TAK,1,1,0
67805,TAK,TAK,1,1,0
67810,TAK,TAK,1,1,0
67811,TAK,TAK,1,1,0
67812,TAK,TAK,1,1,0
67813,TAK,TAK,1,1,0
67814,TAK,TAK,1,1,0
67815,TAK,TAK,1,1,0
67840,TAK,TAK,1,1,0
67841,TAK,TAK,1,1,0
67850,TAK,TAK,1,1,0
67851,TAK,TAK,1,1,0
67853,TAK,TAK,1,1,0
67860,TAK,TAK,1,1,0
67880,TAK,TAK,1,1,0
67882,TAK,TAK,1,1,0
67900,TAK,TAK,1,1,0
67901,TAK,TAK,1,1,0
67950,TAK,TAK,1,1,0
67961,TAK,TAK,1,1,0
68010,TAK,TAK,1,1,0
68011,TAK,TAK,1,1,0
68015,TAK,TAK,1,1,0
68016,TAK,TAK,1,1,0
68032,TAK,TAK,1,1,0
68033,TAK,TAK,1,1,0
68050,TAK,TAK,1,1,0
68051,TAK,TAK,1,1,0
68052,TAK,TAK,1,1,0
68053,TAK,TAK,1,1,0
68090,TAK,TAK,1,1,0
68100,TAK,TAK,1,1,0
68115,TAK,TAK,1,1,0
68116,TAK,TAK,1,1,0
68172,TAK,TAK,1,1,0
68173,TAK,TAK,1,1,0
68174,TAK,TAK,1,1,0
68193,TAK,TAK,1,1,0
68194,TAK,TAK,1,1,0
68195,TAK,TAK,1,1,0
68206,TAK,TAK,1,1,0
68216,TAK,TAK,1,1,0
68217,TAK,TAK,1,1,0
68218,TAK,TAK,1,1,0
68219,TAK,NIE,1,0,0
6821968223,NIE,TAK,0,1,0
68250,TAK,TAK,1,1,0
68251,TAK,TAK,1,1,0
68260,TAK,TAK,1,1,0
68270,TAK,TAK,1,1,0
68271,TAK,TAK,1,1,0
68272,TAK,TAK,1,1,0
68273,TAK,TAK,1,1,0
68280,TAK,TAK,1,1,0
68281,TAK,TAK,1,1,0
68477,TAK,TAK,1,1,0
68480,TAK,TAK,1,1,0
68481,TAK,TAK,1,1,0
68501,TAK,TAK,1,1,0
68502,TAK,TAK,1,1,0
68510,TAK,TAK,1,1,0
68650,TAK,TAK,1,1,0
68651,TAK,TAK,1,1,0
68652,TAK,TAK,1,1,0
68791,TAK,TAK,1,1,0
68792,TAK,TAK,1,1,0
68793,TAK,TAK,1,1,0
70280,TAK,TAK,1,1,0
71500,TAK,TAK,1,1,0
72928,TAK,TAK,1,1,0
72930,TAK,TAK,1,1,0
73056,TAK,TAK,1,1,0
73060,TAK,TAK,1,1,0
73200,TAK,TAK,1,1,0
73201,TAK,TAK,1,1,0
73202,TAK,TAK,1,1,0
73203,TAK,TAK,1,1,0
73400,TAK,TAK,1,1,0
73403,TAK,TAK,1,1,0
73410,TAK,TAK,1,1,0
73420,TAK,TAK,1,1,0
73470,TAK,TAK,1,1,0
73473,TAK,TAK,1,1,0
75662,TAK,TAK,1,1,0
75663,TAK,TAK,1,1,0
75664,TAK,TAK,1,1,0
75665,TAK,TAK,1,1,0
75670,TAK,TAK,1,1,0
75671,TAK,TAK,1,1,0
75672,TAK,TAK,1,1,0
75673,TAK,TAK,1,1,0
75674,TAK,TAK,1,1,0
75685,TAK,TAK,1,1,0
75686,TAK,TAK,1,1,0
75687,TAK,TAK,1,1,0
75688,TAK,TAK,1,1,0
75689,TAK,TAK,1,1,0
75705,TAK,NIE,1,0,0
7570575706757077570875709757107571175712,NIE,TAK,0,1,0
75716,TAK,TAK,1,1,0
75719,TAK,TAK,1,1,0
75740,TAK,TAK,1,1,0
75742,TAK,TAK,1,1,0
75743,TAK,TAK,1,1,0
75745,TAK,TAK,1,1,0
75747,TAK,TAK,1,1,0
75748,TAK,TAK,1,1,0
75749,TAK,TAK,1,1,0
75760,TAK,TAK,1,1,0
75762,TAK,TAK,1,1,0
75763,TAK,TAK,1,1,0
75764,TAK,TAK,1,1,0
75765,TAK,TAK,1,1,0
75767,TAK,TAK,1,1,0
75768,TAK,TAK,1,1,0
75770,TAK,TAK,1,1,0
75772,TAK,TAK,1,1,0
75773,TAK,TAK,1,1,0
75774,TAK,TAK,1,1,0
75775,TAK,TAK,2,1,0
7577575776757777577875779,NIE,TAK,0,1,0
75804,TAK,TAK,1,1,0
75805,TAK,TAK,1,1,0
75807,TAK,TAK,1,1,0
75808,TAK,TAK,1,1,0
75809,TAK,TAK,1,1,0
75811,TAK,TAK,1,1,0
75812,TAK,TAK,1,1,0
75813,TAK,TAK,1,1,0
75814,TAK,TAK,1,1,0
75815,TAK,TAK,1,1,0
75816,TAK,TAK,1,1,0
75817,TAK,TAK,1,1,0
75818,TAK,TAK,1,1,0
75827,TAK,TAK,1,1,0
75828,TAK,TAK,1,1,0
75829,TAK,TAK,1,1,0
75830,TAK,TAK,1,1,0
75831,TAK,TAK,1,1,0
75832,TAK,TAK,1,1,0
75833,TAK,TAK,1,1,0
75835,TAK,TAK,1,1,0
75836,TAK,TAK,1,1,0
75837,TAK,TAK,1,1,0
75838,TAK,TAK,1,1,0
75880,TAK,TAK,1,1,0
75881,TAK,TAK,1,1,0
75882,TAK,TAK,1,1,0
75883,TAK,TAK,1,1,0
75884,TAK,TAK,1,1,0
75885,TAK,TAK,1,1,0
75886,TAK,TAK,1,1,0
75887,TAK,TAK,1,1,0
75888,TAK,TAK,1,1,0
75889,TAK,TAK,1,1,0
75921,TAK,TAK,1,1,0
75923,TAK,TAK,1,1,0
75924,TAK,TAK,1,1,0
75930,TAK,TAK,1,1,0
75931,TAK,TAK,1,1,0
75932,TAK,TAK,1,1,0
75944,TAK,TAK,1,1,0
75945,TAK,TAK,1,1,0
75951,TAK,TAK,1,1,0
75953,TAK,TAK,1,1,0
75977,TAK,TAK,1,1,0
75978,TAK,TAK,1,1,0
75979,TAK,TAK,1,1,0
75980,TAK,TAK,1,1,0
75981,TAK,TAK,1,1,0
75982,TAK,TAK,1,1,0
75983,TAK,TAK,1,1,0
75984,TAK,TAK,1,1,0
77990,TAK,TAK,1,1,0
78080,TAK,TAK,1,1,0
78081,TAK,TAK,1,1,0
78082,TAK,TAK,1,1,0
78084,TAK,TAK,1,1,0
78085,TAK,TAK,1,1,0
78090,TAK,TAK,1,1,0
78091,TAK,TAK,1,1,0
78107,TAK,TAK,1,1,0
78113,TAK,TAK,1,1,0
