zun;partIndex;name;material;spec;dimensionsCm;linkedModel;linkedModelBrand;linkedModelTitle;modelLinkStatus;linkedDrawingPreviewUrl;row
ZUN-000519;Z09900-12;O-RING;;ø17/ø21/ø2mm;ø2,1x0,2;09900;VOREL;Czesci_zamienne_09900.pdf;matched_manifest;https://drive.google.com/file/d/1RQeVZdnCkfLRPgRr0pRrtj-MluClXhK1/preview;23
ZUN-000492;Z09900-15;O-RING;;ø5/ø8/ø1,5mm;ø0,8x0,15;09900;VOREL;Czesci_zamienne_09900.pdf;matched_manifest;https://drive.google.com/file/d/1RQeVZdnCkfLRPgRr0pRrtj-MluClXhK1/preview;24
ZUN-000498;Z09900-16;O-RING;;ø7,2/ø10/ø1,4mm;ø1,0x0,14;09900;VOREL;Czesci_zamienne_09900.pdf;matched_manifest;https://drive.google.com/file/d/1RQeVZdnCkfLRPgRr0pRrtj-MluClXhK1/preview;25
ZUN-000519;Z09903-12;O-RING;;ø17/ø21/ø2mm;ø2,1x0,2;09903;VOREL;Czesci_zamienne_09903.pdf;matched_manifest;https://drive.google.com/file/d/1NPH3NzaWCBqb-tvl-iVxboUvbgtUM4VU/preview;27
ZUN-000492;Z09903-15;O-RING;;ø5/ø8/ø1,5mm;ø0,8x0,15;09903;VOREL;Czesci_zamienne_09903.pdf;matched_manifest;https://drive.google.com/file/d/1NPH3NzaWCBqb-tvl-iVxboUvbgtUM4VU/preview;28
ZUN-000498;Z09903-16;O-RING;;ø7,2/ø10/ø1,4mm;ø1,0x0,14;09903;VOREL;Czesci_zamienne_09903.pdf;matched_manifest;https://drive.google.com/file/d/1NPH3NzaWCBqb-tvl-iVxboUvbgtUM4VU/preview;29
ZUN-000255;Z57091010;KULKA STALOWA;;ø5mm;ø0,5;57091;VOREL;Czesci_zamienne_57091.pdf;matched_manifest;https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/preview;117
ZUN-000263;Z57091011;KULKA STALOWA;;ø8mm;ø0,8;57091;VOREL;Czesci_zamienne_57091.pdf;matched_manifest;https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/preview;118
ZUN-000181;Z57091020;TULEJA STALOWA z wewnętrznymi rowkami;;ø8/ø12/8mm z wewnętrznymi rowkami;ø1,2x0,8;57091;VOREL;Czesci_zamienne_57091.pdf;matched_manifest;https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/preview;127
ZUN-000028;Z57091024;ŁOŻYSKO KULKOWE 6000 2Z;;6000 2Z;ø2,6x0,8;57091;VOREL;Czesci_zamienne_57091.pdf;matched_manifest;https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/preview;130
ZUN-000005;Z57091030;ŁOŻYSKO KULKOWE 608 2Z;;608 2Z;ø2,2x0,7;57091;VOREL;Czesci_zamienne_57091.pdf;matched_manifest;https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/preview;135
ZUN-000596;Z57091031;OSŁONA ŁOŻYSKA 608;tworzywo/met;ø19/ø21,8/ø25/8,5mm;ø2,5x0,8;57091;VOREL;Czesci_zamienne_57091.pdf;matched_manifest;https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/preview;136
ZUN-000576;Z57091037;PRZEŁĄCZNIK krzyżowy bistabilny;;FA2-5/2D 8(8)A 250V 5E4;2,8x4,95x5,9;57091;VOREL;Czesci_zamienne_57091.pdf;matched_manifest;https://drive.google.com/file/d/1SdZQbdqrPFxdfYLCSQB74EpOhvFxK_gr/preview;138
