deviceIndex,assemblyPosition,assemblyPartIndex,assemblyNamePl,componentPosition,componentPartIndex,componentNamePl,confidence,reason
827793,"4,5,6,22,23,26-31",ZY827793-31A,PRZEKŁADNIA Z UDAREM KOMPLETNA,22,ZY827793-22,OBUDOWA TYLNA,wysoka,pozycja + zakres indeksów
827793,"4,5,6,22,23,26-31",ZY827793-31A,PRZEKŁADNIA Z UDAREM KOMPLETNA,23,ZY827793-23,O-RING,wysoka,pozycja + zakres indeksów
827793,"4,5,6,22,23,26-31",ZY827793-31A,PRZEKŁADNIA Z UDAREM KOMPLETNA,26,ZY827793-26,PODKŁADKA,wysoka,pozycja + zakres indeksów
827793,"4,5,6,22,23,26-31",ZY827793-31A,PRZEKŁADNIA Z UDAREM KOMPLETNA,27,ZY827793-27,TRZPIEŃ,wysoka,pozycja + zakres indeksów
827793,"4,5,6,22,23,26-31",ZY827793-31A,PRZEKŁADNIA Z UDAREM KOMPLETNA,28,ZY827793-28,KOŁO ZĘBATE,wysoka,pozycja + zakres indeksów
827793,"4,5,6,22,23,26-31",ZY827793-31A,PRZEKŁADNIA Z UDAREM KOMPLETNA,29,ZY827793-29,WAŁ PRZEKŁADNI,wysoka,pozycja + zakres indeksów
827793,"4,5,6,22,23,26-31",ZY827793-31A,PRZEKŁADNIA Z UDAREM KOMPLETNA,30,ZY827793-30,SPRĘŻYNA,wysoka,pozycja + zakres indeksów
827793,"4,5,6,22,23,26-31",ZY827793-31A,PRZEKŁADNIA Z UDAREM KOMPLETNA,31,ZY827793-31,BLOK UDAROWY,wysoka,pozycja + zakres indeksów
YG-03118,"6,7,8,9,10,11",ZG03118-07A,ZESPÓŁ WAŁU NOŻA TNĄCEGO,6,ZG03118-06,POKRYWA OSTRZA,wysoka,pozycja + zakres indeksów
YG-03118,"6,7,8,9,10,11",ZG03118-07A,ZESPÓŁ WAŁU NOŻA TNĄCEGO,7,ZG03118-07,WAŁ NOŻA TNĄCEGO,wysoka,pozycja + zakres indeksów
YT-82003,97-102,ZY82003-099A,UCHWYT DODATKOWY KOMPLETNY,97,ZY82003-097,ŚRUBA,wysoka,pozycja + zakres indeksów
YT-82003,97-102,ZY82003-099A,UCHWYT DODATKOWY KOMPLETNY,98,ZY82003-098,GAŁKA,wysoka,pozycja + zakres indeksów
YT-82003,97-102,ZY82003-099A,UCHWYT DODATKOWY KOMPLETNY,99,ZY82003-099,UCHWYT DODATKOWY,wysoka,pozycja + zakres indeksów
YT-82200,"55,56",ZY8220055A,ZESPÓŁ UKŁADU REGULACJI PRĘDKOŚCI,55,ZY8220055,UKŁAD REGULACJI PRĘDKOŚCI,wysoka,pozycja + zakres indeksów
YT-828377,"31,32,33,34,35,37",ZY828377-34A,PRZEKŁADNIA KOMPLETNA,31,ZY828377-31,PIERŚCIEŃZABEZPIECZAJĄCY,wysoka,pozycja + zakres indeksów
YT-828377,"31,32,33,34,35,37",ZY828377-34A,PRZEKŁADNIA KOMPLETNA,32,ZY828377-32,OBUDOWA PRZEKŁADNI,wysoka,pozycja + zakres indeksów
YT-828377,"31,32,33,34,35,37",ZY828377-34A,PRZEKŁADNIA KOMPLETNA,33,ZY828377-33,JAŻMO,wysoka,pozycja + zakres indeksów
YT-828377,"31,32,33,34,35,37",ZY828377-34A,PRZEKŁADNIA KOMPLETNA,34,ZY828377-34,KOŁO ZĘBATE,wysoka,pozycja + zakres indeksów
YT-828390,"14,15,16",ZY828390-116A,OIL CAN ASSEMBLY NAKRĘTKA ZBIORNIKA KOMPLETNA,14,ZY828390-114,NAKRĘTKA ZBIORNIKA OLEJU,wysoka,pozycja + zakres indeksów
YT-828390,"14,15,16",ZY828390-116A,OIL CAN ASSEMBLY NAKRĘTKA ZBIORNIKA KOMPLETNA,15,ZY828390-115,USZCZELKA ZBIORNIKA,wysoka,pozycja + zakres indeksów
YT-828390,"14,15,16",ZY828390-116A,OIL CAN ASSEMBLY NAKRĘTKA ZBIORNIKA KOMPLETNA,16,ZY828390-116,HACZYK,wysoka,pozycja + zakres indeksów
YT-828390,"2,3,4,5",ZY828390-105A,POMPKA OLEJU KOMPLETNA,2,ZY828390-102,ZĘBATKA,wysoka,pozycja + zakres indeksów
YT-828390,"2,3,4,5",ZY828390-105A,POMPKA OLEJU KOMPLETNA,3,ZY828390-103,KOŁO ŚLIMAKOWE,wysoka,pozycja + zakres indeksów
YT-828390,"2,3,4,5",ZY828390-105A,POMPKA OLEJU KOMPLETNA,4,ZY828390-104,TULEJA TŁOKA,wysoka,pozycja + zakres indeksów
YT-828390,"2,3,4,5",ZY828390-105A,POMPKA OLEJU KOMPLETNA,5,ZY828390-105,OBUDOWA POMPKI OLEJU,wysoka,pozycja + zakres indeksów
YT-828391,"14,15,16",ZY828390-116A,OIL CAN ASSEMBLY NAKRĘTKA ZBIORNIKA KOMPLETNA,14,ZY828390-114,NAKRĘTKA ZBIORNIKA OLEJU,wysoka,pozycja + zakres indeksów
YT-828391,"14,15,16",ZY828390-116A,OIL CAN ASSEMBLY NAKRĘTKA ZBIORNIKA KOMPLETNA,15,ZY828390-115,USZCZELKA ZBIORNIKA,wysoka,pozycja + zakres indeksów
YT-828391,"14,15,16",ZY828390-116A,OIL CAN ASSEMBLY NAKRĘTKA ZBIORNIKA KOMPLETNA,16,ZY828390-116,HACZYK,wysoka,pozycja + zakres indeksów
YT-828391,"2,3,4,5",ZY828390-105A,POMPKA OLEJU KOMPLETNA,2,ZY828390-102,ZĘBATKA,wysoka,pozycja + zakres indeksów
YT-828391,"2,3,4,5",ZY828390-105A,POMPKA OLEJU KOMPLETNA,3,ZY828390-103,KOŁO ŚLIMAKOWE,wysoka,pozycja + zakres indeksów
YT-828391,"2,3,4,5",ZY828390-105A,POMPKA OLEJU KOMPLETNA,4,ZY828390-104,TULEJA TŁOKA,wysoka,pozycja + zakres indeksów
YT-828391,"2,3,4,5",ZY828390-105A,POMPKA OLEJU KOMPLETNA,5,ZY828390-105,OBUDOWA POMPKI OLEJU,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F1,ZY85003-F01,RĘKOJEŚĆ ROZRUSZNIKA,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F10,ZY85003-F10,KOŁO ROZRUSZNIKA,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F11,ZY85003-F11,ŚRUBY ROZRUSZNIKA,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F2,ZY85003-F02,LINKA ROZRUSZNIKA,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F3,ZY85003-F03,ŚRUBA,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F4,ZY85003-F04,ŚRUBA,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F5,ZY85003-F05,OSŁONA ROZRUSZNIKA,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F6,ZY85003-F06,NAKRĘTKA,wysoka,pozycja + zakres indeksów
YT-85003,F1-F11,ZY85003-F1A,ZESPÓŁ ROZRUSZNIKA,F7,ZY85003-F07,SPRĘŻYNA ROZRUSZNIKA,wysoka,pozycja + zakres indeksów
