model,folder,parts_count,pdf,status,file_count
YT-829021,YT-829021,12,assets/robocze-pdf/yt-829021.pdf,parts-from-docx,2
YT-852091,YT-852091 YT-852092 YT-852093 - robot koszący,53,assets/robocze-pdf/yt-852091-yt-852092-yt-852093-robot-koszacy.pdf,parts-from-docx,4
YT-852092,YT-852091 YT-852092 YT-852093 - robot koszący,53,assets/robocze-pdf/yt-852091-yt-852092-yt-852093-robot-koszacy.pdf,parts-from-docx,4
YT-852093,YT-852091 YT-852092 YT-852093 - robot koszący,53,assets/robocze-pdf/yt-852091-yt-852092-yt-852093-robot-koszacy.pdf,parts-from-docx,4
YT-828353,YT-828353,42,assets/robocze-pdf/yt-828353.pdf,parts-from-docx,1
YT-829385,YT-829385,40,assets/robocze-pdf/yt-829385.pdf,parts-from-docx,2
YT-851990,YT-851990,70,assets/robocze-pdf/yt-851990.pdf,parts-from-docx,2
YT-828254,YT-828254 YT-828255 YT-828256,47,assets/robocze-pdf/yt-828254-yt-828255-yt-828256.pdf,parts-from-docx,2
YT-828255,YT-828254 YT-828255 YT-828256,47,assets/robocze-pdf/yt-828254-yt-828255-yt-828256.pdf,parts-from-docx,2
YT-828256,YT-828254 YT-828255 YT-828256,47,assets/robocze-pdf/yt-828254-yt-828255-yt-828256.pdf,parts-from-docx,2
YT-829383,YT-829383,16,assets/robocze-pdf/yt-829383.pdf,parts-from-docx,2
YT-828390,YT-828390 YT-828391,59,assets/robocze-pdf/yt-828390-yt-828391.pdf,parts-from-docx,1
YT-828391,YT-828390 YT-828391,59,assets/robocze-pdf/yt-828390-yt-828391.pdf,parts-from-docx,1
YT-852082,YT-852082,53,assets/robocze-pdf/yt-852082.pdf,parts-from-docx,2
YT-828355,YT-828355 YT-828356,38,assets/robocze-pdf/yt-828355-yt-828356.pdf,parts-from-docx,2
YT-828356,YT-828355 YT-828356,38,assets/robocze-pdf/yt-828355-yt-828356.pdf,parts-from-docx,2
YT-828382,YT-828382 YT-828383,0,assets/robocze-pdf/yt-828382-yt-828383.pdf,drawing-only,2
YT-828383,YT-828382 YT-828383,0,assets/robocze-pdf/yt-828382-yt-828383.pdf,drawing-only,2
YT-828296,YT-828296,0,assets/robocze-pdf/yt-828296.pdf,drawing-only,2
YT-82824,YT-828296,0,assets/robocze-pdf/yt-828296.pdf,drawing-only,2
YT-828294,YT-828296,0,assets/robocze-pdf/yt-828296.pdf,drawing-only,2
YT-828251,YT-828251 YT-828252 YT-828253,39,assets/robocze-pdf/yt-828251-yt-828252-yt-828253.pdf,parts-from-docx,2
YT-828252,YT-828251 YT-828252 YT-828253,39,assets/robocze-pdf/yt-828251-yt-828252-yt-828253.pdf,parts-from-docx,2
YT-828253,YT-828251 YT-828252 YT-828253,39,assets/robocze-pdf/yt-828251-yt-828252-yt-828253.pdf,parts-from-docx,2
YT-852371,YT-852371,104,assets/robocze-pdf/yt-852371.pdf,parts-from-docx,2
YT-851992,YT-851992,109,assets/robocze-pdf/yt-851992.pdf,parts-from-docx,2
YT-828357,YT-828357 YT-828358,19,assets/robocze-pdf/yt-828357-yt-828358.pdf,parts-from-docx,2
YT-828358,YT-828357 YT-828358,19,assets/robocze-pdf/yt-828357-yt-828358.pdf,parts-from-docx,2
YT-828377,YT-828377 YT-828378,44,assets/robocze-pdf/yt-828377-yt-828378.pdf,parts-from-docx,2
YT-828378,YT-828377 YT-828378,44,assets/robocze-pdf/yt-828377-yt-828378.pdf,parts-from-docx,2
YT-852370,YT-852370,71,assets/robocze-pdf/yt-852370.pdf,parts-from-docx,2
YT-851993,YT-851993,136,assets/robocze-pdf/yt-851993.pdf,parts-from-docx,2
YT-85600,YT-85600 - ogrodówka spalinowa 2024-2025,0,assets/robocze-pdf/yt-85600-ogrodowka-spalinowa-2024-2025.pdf,drawing-only,8
YT-828113,YT-828113 YT-828114,41,assets/robocze-pdf/yt-828113-yt-828114.pdf,parts-from-docx,2
YT-828114,YT-828113 YT-828114,41,assets/robocze-pdf/yt-828113-yt-828114.pdf,parts-from-docx,2
YT-828331,YT-828331 YT-828332,45,assets/robocze-pdf/yt-828331-yt-828332.pdf,parts-from-docx,1
YT-828332,YT-828331 YT-828332,45,assets/robocze-pdf/yt-828331-yt-828332.pdf,parts-from-docx,1
YT-828135,YT-828135 YT-828136,40,assets/robocze-pdf/yt-828135-yt-828136.pdf,parts-from-docx,1
YT-828136,YT-828135 YT-828136,40,assets/robocze-pdf/yt-828135-yt-828136.pdf,parts-from-docx,1
YT-851991,YT-851991,89,assets/robocze-pdf/yt-851991.pdf,parts-from-docx,2
YT-828137,YT-828137 YT-828138,74,assets/robocze-pdf/yt-828137-yt-828138.pdf,parts-from-docx,2
YT-828138,YT-828137 YT-828138,74,assets/robocze-pdf/yt-828137-yt-828138.pdf,parts-from-docx,2
828137,YT-828137 YT-828138,74,assets/robocze-pdf/yt-828137-yt-828138.pdf,parts-from-docx,2
YT-852090,YT-852090 - robot koszący,45,assets/robocze-pdf/yt-852090-robot-koszacy.pdf,parts-from-docx,3
YT-828333,YT-828333 YT-828334,9,assets/robocze-pdf/yt-828333-yt-828334.pdf,parts-from-docx,1
YT-828334,YT-828333 YT-828334,9,assets/robocze-pdf/yt-828333-yt-828334.pdf,parts-from-docx,1
YT-828293,YT-828293 YT-828294 YT-828295,43,assets/robocze-pdf/yt-828293-yt-828294-yt-828295.pdf,parts-from-docx,3
YT-828294,YT-828293 YT-828294 YT-828295,43,assets/robocze-pdf/yt-828293-yt-828294-yt-828295.pdf,parts-from-docx,3
YT-828295,YT-828293 YT-828294 YT-828295,43,assets/robocze-pdf/yt-828293-yt-828294-yt-828295.pdf,parts-from-docx,3
YT-852081,YT-852081,36,assets/robocze-pdf/yt-852081.pdf,parts-from-docx,2
YT-822110,YT-822110,0,assets/robocze-pdf/yt-822110.pdf,drawing-only,2
YT-828380,YT-828380 YT-828381,46,assets/robocze-pdf/yt-828380-yt-828381.pdf,parts-from-docx,2
YT-828381,YT-828380 YT-828381,46,assets/robocze-pdf/yt-828380-yt-828381.pdf,parts-from-docx,2
YT-828066,YT-828066 YT-828067 YT-828068,37,assets/robocze-pdf/yt-828066-yt-828067-yt-828068.pdf,parts-from-docx,3
YT-828067,YT-828066 YT-828067 YT-828068,37,assets/robocze-pdf/yt-828066-yt-828067-yt-828068.pdf,parts-from-docx,3
YT-828068,YT-828066 YT-828067 YT-828068,37,assets/robocze-pdf/yt-828066-yt-828067-yt-828068.pdf,parts-from-docx,3
YT-827533,YT-827533,29,assets/robocze-pdf/yt-827533.pdf,parts-from-docx,2
YT-827721,YT-827721 YT-827722 YT-827723,98,assets/robocze-pdf/yt-827721-yt-827722-yt-827723.pdf,parts-from-docx,2
YT-827722,YT-827721 YT-827722 YT-827723,98,assets/robocze-pdf/yt-827721-yt-827722-yt-827723.pdf,parts-from-docx,2
YT-827723,YT-827721 YT-827722 YT-827723,98,assets/robocze-pdf/yt-827721-yt-827722-yt-827723.pdf,parts-from-docx,2
YT-828030,YT-828030 YT-828031,39,assets/robocze-pdf/yt-828030-yt-828031.pdf,parts-from-docx,2
YT-828031,YT-828030 YT-828031,39,assets/robocze-pdf/yt-828030-yt-828031.pdf,parts-from-docx,2
YT-828337,YT-828337,0,assets/robocze-pdf/yt-828337.pdf,drawing-only,2
YT-828071,YT-828071 YT-828072,24,assets/robocze-pdf/yt-828071-yt-828072.pdf,parts-from-docx,1
YT-828072,YT-828071 YT-828072,24,assets/robocze-pdf/yt-828071-yt-828072.pdf,parts-from-docx,1
YT-827788,YT-827788 YT-827790 YT-8277905,20,assets/robocze-pdf/yt-827788-yt-827790-yt-8277905.pdf,parts-from-docx,4
YT-827790,YT-827788 YT-827790 YT-8277905,20,assets/robocze-pdf/yt-827788-yt-827790-yt-8277905.pdf,parts-from-docx,4
YT-824485,YT-824485,0,assets/robocze-pdf/yt-824485.pdf,empty,1
YT-824480,YT-824480,0,assets/robocze-pdf/yt-824480.pdf,empty,1
YT-827791,YT-827791 YT-8277915,4,assets/robocze-pdf/yt-827791-yt-8277915.pdf,parts-from-docx,4
YT-828033,YT-828033,45,assets/robocze-pdf/yt-828033.pdf,parts-from-docx,3
YT-828131,YT-828131 YT-828132,78,assets/robocze-pdf/yt-828131-yt-828132.pdf,parts-from-docx,1
YT-828132,YT-828131 YT-828132,78,assets/robocze-pdf/yt-828131-yt-828132.pdf,parts-from-docx,1
YT-821597,YT-821597,129,assets/robocze-pdf/yt-821597.pdf,parts-from-docx,2
YT-827820,"YT-827820, YT-827821, YT-827822",20,assets/robocze-pdf/yt-827820-yt-827821-yt-827822.pdf,parts-from-docx,2
YT-827821,"YT-827820, YT-827821, YT-827822",20,assets/robocze-pdf/yt-827820-yt-827821-yt-827822.pdf,parts-from-docx,2
YT-827822,"YT-827820, YT-827821, YT-827822",20,assets/robocze-pdf/yt-827820-yt-827821-yt-827822.pdf,parts-from-docx,2
YT-828133,YT-828133 YT-828134,59,assets/robocze-pdf/yt-828133-yt-828134.pdf,parts-from-docx,1
YT-828134,YT-828133 YT-828134,59,assets/robocze-pdf/yt-828133-yt-828134.pdf,parts-from-docx,1
YT-827793,YT-827793 YT-8277935,36,assets/robocze-pdf/yt-827793-yt-8277935.pdf,parts-from-docx,4
YT-827792,YT-827792 YT-8277925,33,assets/robocze-pdf/yt-827792-yt-8277925.pdf,parts-from-docx,2
YT-827724,YT-827724 YT-827725 YT-827726,97,assets/robocze-pdf/yt-827724-yt-827725-yt-827726.pdf,parts-from-docx,2
YT-827725,YT-827724 YT-827725 YT-827726,97,assets/robocze-pdf/yt-827724-yt-827725-yt-827726.pdf,parts-from-docx,2
YT-827726,YT-827724 YT-827725 YT-827726,97,assets/robocze-pdf/yt-827724-yt-827725-yt-827726.pdf,parts-from-docx,2
YT-821905,YT-821905,55,assets/robocze-pdf/yt-821905.pdf,parts-from-docx,2
YT-828073,YT-828073 YT-828074,39,assets/robocze-pdf/yt-828073-yt-828074.pdf,parts-from-docx,1
YT-828074,YT-828073 YT-828074,39,assets/robocze-pdf/yt-828073-yt-828074.pdf,parts-from-docx,1
YT-822112,YT-822112,0,assets/robocze-pdf/yt-822112.pdf,drawing-only,2
YT-824482,YT-824482,0,assets/robocze-pdf/yt-824482.pdf,drawing-only,2
YT-821901,YT-821901,23,assets/robocze-pdf/yt-821901.pdf,parts-from-docx,2
YT-828118,YT-828118 YT-8281185,56,assets/robocze-pdf/yt-828118-yt-8281185.pdf,parts-from-docx,2
YT-822107,YT-822107,0,assets/robocze-pdf/yt-822107.pdf,drawing-only,2
YT-828075,YT-828075 YT-828076,50,assets/robocze-pdf/yt-828075-yt-828076.pdf,parts-from-docx,1
YT-828076,YT-828075 YT-828076,50,assets/robocze-pdf/yt-828075-yt-828076.pdf,parts-from-docx,1
YT-828035,YT-828035,49,assets/robocze-pdf/yt-828035.pdf,parts-from-docx,3
YT-827795,YT-827795,31,assets/robocze-pdf/yt-827795.pdf,parts-from-docx,2
YT-821732,YT-821732,146,assets/robocze-pdf/yt-821732.pdf,parts-from-docx,2
YT-822100,YT-822100,0,assets/robocze-pdf/yt-822100.pdf,drawing-only,2
