folder,models,model_count,file_count,docx_count,doc_count,pdf_count,image_count,parts_count,status,errors
YT-829021,YT-829021,1,2,1,0,0,1,12,parts-from-docx,
YT-852091 YT-852092 YT-852093 - robot koszący,YT-852091 YT-852092 YT-852093,3,4,1,0,0,3,53,parts-from-docx,
YT-828353,YT-828353,1,1,1,0,0,0,42,parts-from-docx,
YT-829385,YT-829385,1,2,1,0,0,1,40,parts-from-docx,
YT-851990,YT-851990,1,2,1,0,0,1,70,parts-from-docx,
YT-828254 YT-828255 YT-828256,YT-828254 YT-828255 YT-828256,3,2,1,0,0,1,47,parts-from-docx,
YT-829383,YT-829383,1,2,1,0,0,1,16,parts-from-docx,
YT-828390 YT-828391,YT-828390 YT-828391,2,1,1,0,0,0,59,parts-from-docx,
YT-852082,YT-852082,1,2,1,0,0,1,53,parts-from-docx,
YT-828355 YT-828356,YT-828355 YT-828356,2,2,1,0,0,1,38,parts-from-docx,
YT-828382 YT-828383,YT-828382 YT-828383,2,2,1,0,0,1,0,drawing-only,
YT-828296,YT-828296 YT-82824 YT-828294,3,2,0,0,2,0,0,drawing-only,
YT-828251 YT-828252 YT-828253,YT-828251 YT-828252 YT-828253,3,2,1,0,0,1,39,parts-from-docx,
YT-852371,YT-852371,1,2,1,0,0,1,104,parts-from-docx,
YT-851992,YT-851992,1,2,1,0,0,1,109,parts-from-docx,
YT-828357 YT-828358,YT-828357 YT-828358,2,2,1,0,0,1,19,parts-from-docx,
YT-828377 YT-828378,YT-828377 YT-828378,2,2,1,0,0,1,44,parts-from-docx,
YT-852370,YT-852370,1,2,1,0,0,1,71,parts-from-docx,
YT-851993,YT-851993,1,2,1,0,0,1,136,parts-from-docx,
YT-85600 - ogrodówka spalinowa 2024-2025,YT-85600,1,8,0,0,0,8,0,drawing-only,
YT-828113 YT-828114,YT-828113 YT-828114,2,2,1,0,0,1,41,parts-from-docx,
YT-828331 YT-828332,YT-828331 YT-828332,2,1,1,0,0,0,45,parts-from-docx,
YT-828135 YT-828136,YT-828135 YT-828136,2,1,1,0,0,0,40,parts-from-docx,
YT-851991,YT-851991,1,2,1,0,0,1,89,parts-from-docx,
YT-828137 YT-828138,YT-828137 YT-828138 828137,3,2,1,0,0,1,74,parts-from-docx,
YT-852090 - robot koszący,YT-852090,1,3,1,0,0,2,45,parts-from-docx,
YT-828333 YT-828334,YT-828333 YT-828334,2,1,1,0,0,0,9,parts-from-docx,
YT-828293 YT-828294 YT-828295,YT-828293 YT-828294 YT-828295,3,3,3,0,0,0,43,parts-from-docx,
YT-852081,YT-852081,1,2,1,0,0,1,36,parts-from-docx,
YT-822110,YT-822110,1,2,1,0,0,1,0,drawing-only,
YT-828380 YT-828381,YT-828380 YT-828381,2,2,1,0,0,1,46,parts-from-docx,
YT-828066 YT-828067 YT-828068,YT-828066 YT-828067 YT-828068,3,3,1,0,0,2,37,parts-from-docx,
YT-827533,YT-827533,1,2,1,0,0,1,29,parts-from-docx,
YT-827721 YT-827722 YT-827723,YT-827721 YT-827722 YT-827723,3,2,1,0,0,1,98,parts-from-docx,
YT-828030 YT-828031,YT-828030 YT-828031,2,2,1,0,0,1,39,parts-from-docx,
YT-828337,YT-828337,1,2,1,0,0,1,0,drawing-only,
YT-828071 YT-828072,YT-828071 YT-828072,2,1,1,0,0,0,24,parts-from-docx,
YT-827788 YT-827790 YT-8277905,YT-827788 YT-827790,2,4,1,0,0,3,20,parts-from-docx,
YT-824485,YT-824485,1,1,1,0,0,0,0,empty,
YT-824480,YT-824480,1,1,1,0,0,0,0,empty,
YT-827791 YT-8277915,YT-827791,1,4,1,0,0,3,4,parts-from-docx,
YT-828033,YT-828033,1,3,1,0,0,2,45,parts-from-docx,
YT-828131 YT-828132,YT-828131 YT-828132,2,1,1,0,0,0,78,parts-from-docx,
YT-821597,YT-821597,1,2,1,0,0,1,129,parts-from-docx,
"YT-827820, YT-827821, YT-827822",YT-827820 YT-827821 YT-827822,3,2,1,0,0,1,20,parts-from-docx,
YT-828133 YT-828134,YT-828133 YT-828134,2,1,1,0,0,0,59,parts-from-docx,
YT-827793 YT-8277935,YT-827793,1,4,1,0,0,3,36,parts-from-docx,
YT-827792 YT-8277925,YT-827792,1,2,1,0,0,1,33,parts-from-docx,
YT-827724 YT-827725 YT-827726,YT-827724 YT-827725 YT-827726,3,2,1,0,0,1,97,parts-from-docx,
YT-821905,YT-821905,1,2,1,0,0,1,55,parts-from-docx,
YT-828073 YT-828074,YT-828073 YT-828074,2,1,1,0,0,0,39,parts-from-docx,
YT-822112,YT-822112,1,2,1,0,0,1,0,drawing-only,
YT-824482,YT-824482,1,2,1,0,0,1,0,drawing-only,
YT-821901,YT-821901,1,2,1,0,0,1,23,parts-from-docx,
YT-828118 YT-8281185,YT-828118,1,2,1,0,0,1,56,parts-from-docx,
YT-822107,YT-822107,1,2,1,0,0,1,0,drawing-only,
YT-828075 YT-828076,YT-828075 YT-828076,2,1,1,0,0,0,50,parts-from-docx,
YT-828035,YT-828035,1,3,1,0,0,2,49,parts-from-docx,
YT-827795,YT-827795,1,2,1,0,0,1,31,parts-from-docx,
YT-821732,YT-821732,1,2,1,0,0,1,146,parts-from-docx,
YT-822100,YT-822100,1,2,1,0,0,1,0,drawing-only,
YT-828063 YT-828064 YT-828065,YT-828063 YT-828064 YT-828065,3,3,1,0,0,2,37,parts-from-docx,
YT-822103,YT-822103,1,2,1,0,0,1,0,drawing-only,
YT-821583,YT-821583,1,2,1,0,0,1,90,parts-from-docx,
YT-821915 YT-821916,YT-821915 YT-821916,2,3,1,0,0,2,24,parts-from-docx,
YT-821533,YT-821533,1,2,1,0,0,1,1,parts-from-docx,
YT-821710,YT-821710,1,2,1,0,0,1,145,parts-from-docx,
YT-820507,YT-820507,1,2,1,0,0,1,104,parts-from-docx,
YT-372163 YT-372164 YT-372165,YT-372163 YT-372164 YT-372165,3,2,1,0,0,1,19,parts-from-docx,
YT-821591,YT-821591,1,1,1,0,0,0,87,parts-from-docx,
YT-821722,YT-821722,1,2,1,0,0,1,123,parts-from-docx,
YT-821021,YT-821021,1,2,1,0,0,1,0,drawing-only,
YT-820500,YT-820500,1,2,1,0,0,1,63,parts-from-docx,
YT-821023,YT-821023,1,1,1,0,0,0,58,parts-from-docx,
YT-821020,YT-821020,1,2,1,0,0,1,46,parts-from-docx,
YT-821024,YT-821024,1,1,1,0,0,0,1,parts-from-docx,
YT-821210,YT-821210,1,2,1,0,0,1,91,parts-from-docx,
YT-820501,YT-820501,1,2,1,0,0,1,91,parts-from-docx,
YT-99743,YT-99743,1,1,1,0,0,0,0,empty,
YT-820833,YT-820833,1,2,1,0,0,1,1,parts-from-docx,
YT-372171,YT-372171,1,2,1,0,0,1,18,parts-from-docx,
YT-99700,YT-99700,1,1,1,0,0,0,21,parts-from-docx,
YT-820502,YT-820502 YT-520502,2,2,1,0,0,1,80,parts-from-docx,
YT-372166 YT-372167,YT-372166 YT-372167,2,2,1,0,0,1,27,parts-from-docx,
YT-99651,YT-99651,1,1,1,0,0,0,49,parts-from-docx,
YT-372160 YT-372161,YT-372160 YT-372161,2,2,1,0,0,1,28,parts-from-docx,
YT-99763,YT-99763,1,2,1,0,0,1,68,parts-from-docx,
YT-99720,YT-99720,1,1,1,0,0,0,22,parts-from-docx,
YT-99532,YT-99532,1,2,1,0,0,1,1,parts-from-docx,
YT-99730,YT-99730,1,1,1,0,0,0,28,parts-from-docx,
YT-99520,YT-99520,1,2,1,0,0,1,0,drawing-only,
YT-99760,YT-99760,1,2,1,0,0,1,68,parts-from-docx,
YT-99690,YT-99690,1,2,1,0,0,1,0,drawing-only,
YT-99536,YT-99536,1,2,1,0,0,1,0,drawing-only,
YT-372180,YT-372180,1,2,1,0,0,1,20,parts-from-docx,
YT-86220,YT-86220,1,2,1,0,0,1,30,parts-from-docx,
YT-99531,YT-99531,1,2,1,0,0,1,0,drawing-only,
YT-99738,YT-99738,1,2,1,0,0,1,0,drawing-only,
YT-99710,YT-99710,1,1,1,0,0,0,23,parts-from-docx,
YT-99739,YT-99739,1,2,1,0,0,1,0,drawing-only,
YT-86240,YT-86240,1,3,1,0,0,2,47,parts-from-docx,
YT-86161,YT-86161,1,3,2,0,0,1,69,parts-from-docx,
YT-99740,YT-99740,1,1,1,0,0,0,0,empty,
YT-86400,YT-86400,1,6,0,0,0,6,0,drawing-only,
YT-99733,YT-99733,1,1,1,0,0,0,30,parts-from-docx,
YT-99530,YT-99530,1,2,1,0,0,1,1,parts-from-docx,
YT-99705,YT-99705,1,1,1,0,0,0,21,parts-from-docx,
YT-99650,YT-99650,1,1,1,0,0,0,53,parts-from-docx,
YT-99695,YT-99695,1,1,1,0,0,0,0,empty,
YT-99500,YT-99500,1,2,1,0,0,1,0,drawing-only,
YT-99501,YT-99501,1,2,1,0,0,1,0,drawing-only,
YT-86160,YT-86160,1,3,2,0,0,1,66,parts-from-docx,
YT-86150,YT-86150,1,3,2,0,0,1,65,parts-from-docx,
YT-86211,YT-86211,1,1,0,1,0,0,0,empty,
YT-86200,YT-86200,1,2,0,1,0,1,0,drawing-only,
YT-86115,YT-86115,1,2,2,0,0,0,99,parts-from-docx,
YT-86140,YT-86140,1,1,1,0,0,0,23,parts-from-docx,
YT-86106,YT-86106,1,2,1,0,0,1,12,parts-from-docx,
YT-86158,YT-86158,1,2,1,0,0,1,22,parts-from-docx,
YT-86155,YT-86155,1,2,2,0,0,0,19,parts-from-docx,
YT-86144,YT-86144,1,2,1,0,0,1,0,drawing-only,
YT-99693,YT-99693,1,2,1,0,0,1,0,drawing-only,
YT-85862,YT-85862,1,8,1,0,0,7,42,parts-from-docx,
YT-85910,YT-85910 85910,2,3,0,1,0,2,0,drawing-only,
YT-86120,YT-86120,1,2,1,0,0,1,87,parts-from-docx,
YT-85915,YT-85915,1,2,0,1,0,1,0,drawing-only,
YT-86139,YT-86139,1,2,2,0,0,0,123,parts-from-docx,
YT-86125,YT-86125,1,1,1,0,0,0,121,parts-from-docx,
YT-85720,YT-85720,1,2,1,0,0,1,51,parts-from-docx,
YT-85861,YT-85861,1,2,1,0,0,1,9,parts-from-docx,
YT-85860,YT-85860,1,8,1,0,0,7,41,parts-from-docx,
YT-85930,YT-85930,1,2,1,0,0,1,1,parts-from-docx,
YT-85712,YT-85712,1,2,1,0,0,1,32,parts-from-docx,
YT-86097,YT-86097,1,2,1,0,0,1,36,parts-from-docx,
YT-85592 - ogrodówka spalinowa 2024-2025,YT-85592,1,1,1,0,0,0,2,parts-from-docx,
YT-85851,YT-85851,1,19,1,0,0,18,20,parts-from-docx,
YT-85850,YT-85850,1,16,0,0,0,16,0,drawing-only,
YT-85800,YT-85800,1,1,1,0,0,0,44,parts-from-docx,
YT-85803,YT-85803,1,1,1,0,0,0,40,parts-from-docx,
YT-85591 - ogrodówka spalinowa 2024-2025,YT-85591,1,1,1,0,0,0,2,parts-from-docx,
YT-85537 - ogrodówka spalinowa 2024-2025,YT-85537,1,1,0,0,0,1,0,drawing-only,
YT-85590 - ogrodówka spalinowa 2024-2025,YT-85590,1,0,0,0,0,0,0,empty,
YT-85851 - ogrodówka spalinowa 2024-2025,YT-85851,1,19,0,0,0,18,0,drawing-only,
YT-85710,YT-85710,1,2,1,0,0,1,66,parts-from-docx,
YT-85716,YT-85716,1,1,1,0,0,0,72,parts-from-docx,
YT-85715,YT-85715 85715,2,3,1,0,0,2,74,parts-from-docx,
YT-85719,YT-85719,1,2,1,0,0,1,39,parts-from-docx,
YT-85863,YT-85863,1,2,1,0,0,1,38,parts-from-docx,
YT-85830,YT-85830,1,83,0,0,0,83,0,drawing-only,
YT-85700,YT-85700,1,2,1,0,0,1,48,parts-from-docx,
YT-85545 - ogrodówka spalinowa 2024-2025,YT-85545,1,1,0,0,0,1,0,drawing-only,
YT-85570 - ogrodówka spalinowa 2024-2025,YT-85570,1,1,1,0,0,0,2,parts-from-docx,
YT-85680,YT-85680,1,1,1,0,0,0,1,parts-from-docx,
YT-85702,YT-85702,1,2,1,0,0,1,20,parts-from-docx,
YT-85528 - ogrodówka spalinowa 2024-2025,YT-85528,1,2,0,0,0,1,0,drawing-only,
YT-85552,YT-85552,1,6,0,0,0,6,0,drawing-only,
YT-85580 - ogrodówka spalinowa 2024-2025,YT-85580,1,0,0,0,0,0,0,empty,
YT-85401,YT-85401,1,23,1,1,0,20,132,parts-from-docx,
YT-85690 YT-85691,YT-85690 YT-85691,2,2,1,0,0,1,23,parts-from-docx,
YT-85520 - ogrodówka spalinowa 2024-2025,YT-85520,1,1,1,0,0,0,51,parts-from-docx,
YT-85485,YT-85485,1,4,1,0,0,2,152,parts-from-docx,
YT-85553,YT-85553,1,8,1,0,0,7,18,parts-from-docx,
YT-85349,YT-85349,1,6,2,0,3,1,25,parts-from-docx,
YT-85370,YT-85370 85370,2,7,1,2,1,2,58,parts-from-docx,
YT-85402,YT-85402,1,5,1,1,0,3,133,parts-from-docx,
YT-83061,YT-83061,1,3,1,1,1,0,25,parts-from-docx,
YT-84861,YT-84861,1,9,2,0,1,3,1,parts-from-docx,
YT-83052,YT-83052,1,7,1,1,0,5,43,parts-from-docx,
YT-82900,YT-82900 82900,2,6,1,2,2,1,29,parts-from-docx,
YT-82877,YT-82877,1,4,2,0,0,1,51,parts-from-docx,
YT-85533 - ogrodówka spalinowa 2024-2025,YT-85533,1,3,0,0,1,1,0,drawing-only,
YT-82922,YT-82922,1,3,2,0,0,0,31,parts-from-docx,
YT-82782 & YT-82783 & YT-82784,YT-82782 YT-82783 YT-82784 82783 82784 82782,6,6,3,1,0,2,59,parts-from-docx,
YT-82930,YT-82930 82930,2,7,1,3,2,1,21,parts-from-docx,
YT-84971,YT-84971,1,1,0,0,0,1,0,drawing-only,
YT-85554,YT-85554,1,2,1,0,0,1,36,parts-from-docx,
YT-82853,YT-82853 82853,2,6,1,3,2,0,33,parts-from-docx,
YT-85179,YT-85179,1,3,1,0,1,0,31,parts-from-docx,
YT-82929,YT-82929,1,5,2,0,1,1,25,parts-from-docx,
YT-85191,YT-85191,1,5,2,0,1,1,97,parts-from-docx,
YT-82955 YT-82956,YT-82955 YT-82956,2,4,0,1,1,0,0,drawing-only,
YT-85180,YT-85180,1,4,2,1,0,1,26,parts-from-docx,
YT-85343,YT-85343,1,5,2,0,1,1,33,parts-from-docx,
YT-85200,YT-85200,1,5,2,0,1,2,71,parts-from-docx,
YT-82927,YT-82927,1,4,1,0,1,1,44,parts-from-docx,
YT-84871,YT-84871,1,4,1,0,1,0,0,drawing-only,
YT-85364,YT-85364,1,5,2,0,1,1,75,parts-from-docx,
YT-85701,YT-85701,1,2,1,0,0,1,50,parts-from-docx,
YT-82804 & YT-82805,YT-82804 YT-82805 82804,3,8,1,3,2,2,46,parts-from-docx,
YT-85171 YT-82172,YT-85171 YT-82172,2,3,1,0,1,0,1,parts-from-docx,
YT-84990,YT-84990,1,5,2,0,2,1,42,parts-from-docx,
YT-82611,YT-82611,1,3,1,0,1,0,46,parts-from-docx,
YT-82894 & YT-82895,YT-82894 YT-82895,2,7,3,0,0,3,57,parts-from-docx,
YT-82458,YT-82458 82458,2,10,2,0,3,1,41,parts-from-docx,
YT-85170,YT-85170,1,8,3,0,3,2,30,parts-from-docx,
YT-85525 - ogrodówka spalinowa 2024-2025,YT-85525,1,2,1,0,0,1,1,parts-from-docx,
YT-82459,YT-82459,1,8,2,0,2,1,25,parts-from-docx,
YT-82600,YT-82600,1,2,2,0,0,0,32,parts-from-docx,
YT-85372,YT-85372,1,5,2,0,1,1,82,parts-from-docx,
YT-84901,YT-84901 84901,2,14,2,0,7,5,198,parts-from-docx,
YT-82902,YT-82902,1,3,2,0,1,0,17,parts-from-docx,
YT-82901,YT-82901 82901,2,5,3,0,1,1,19,parts-from-docx,
YT-82816 & YT-82817,YT-82816 YT-82817,2,4,2,1,0,0,148,parts-from-docx,
YT-82456,YT-82456,1,8,2,0,2,1,27,parts-from-docx,
YT-82800 & YT-82801,YT-82800 YT-82801 82800 82801,4,9,2,3,2,2,55,parts-from-docx,
YT-85550,YT-85550,1,7,0,0,0,7,0,drawing-only,
YT-82880 & YT-82881,YT-82880 YT-82881,2,7,3,0,1,1,43,parts-from-docx,
YT-85341,YT-85341 85341,2,8,3,0,2,1,30,parts-from-docx,
YT-82550,YT-82550,1,2,2,0,0,0,36,parts-from-docx,
YT-82461,YT-82461,1,3,1,0,1,1,1,parts-from-docx,
YT-82292,YT-82292,1,5,2,1,1,1,25,parts-from-docx,
YT-85017_YT-85018,YT-85017 YT-85018,2,7,3,0,2,1,38,parts-from-docx,
YT-82296,YT-82296,1,5,1,1,1,0,34,parts-from-docx,
YT-82770,YT-82770 82770,2,4,1,2,0,1,80,parts-from-docx,
YT-85421,YT-85421 85421,2,3,1,1,1,0,200,parts-from-docx,
YT-82356,YT-82356,1,4,2,0,0,1,123,parts-from-docx,
YT-82294,YT-82294,1,6,2,0,1,1,29,parts-from-docx,
YT-82297,YT-82297,1,6,2,0,2,1,29,parts-from-docx,
YT-82455,YT-82455 82455,2,6,1,3,0,2,33,parts-from-docx,
YT-85019_YT-85020,YT-85019 YT-85020,2,7,3,0,2,1,39,parts-from-docx,
YT-83051,YT-83051,1,8,1,1,0,6,43,parts-from-docx,
YT-85403,YT-85403,1,3,1,1,0,1,133,parts-from-docx,
YT-85015,YT-85015,1,4,1,1,1,1,41,parts-from-docx,
YT-82788 & YT-82789,YT-82788 YT-82789 82788 82789,4,8,2,3,1,2,64,parts-from-docx,
YT-82291,YT-82291 82291,2,6,2,2,1,1,23,parts-from-docx,
YT-82274,YT-82274,1,5,1,1,2,0,53,parts-from-docx,
YT-85532 - ogrodówka spalinowa 2024-2025,YT-85532,1,4,1,0,1,1,91,parts-from-docx,
YT-82350,YT-82350 82350,2,7,3,0,1,3,168,parts-from-docx,
YT-85551,YT-85551,1,8,2,0,0,6,20,parts-from-docx,
YT-82230,YT-82230,1,3,1,1,1,0,41,parts-from-docx,
YT-82763,YT-82763,1,2,1,0,1,0,13,parts-from-docx,
YT-82196,YT-82196,1,5,1,1,1,1,51,parts-from-docx,
YT-82273,YT-82273,1,6,2,0,1,1,105,parts-from-docx,
YT-82200,YT-82200,1,4,0,1,1,1,0,drawing-only,
YT-82385,YT-82385 230825,2,3,1,0,1,0,99,parts-from-docx,
YT-82175,YT-82175 180926,2,3,1,0,1,0,175,parts-from-docx,
YT-85005,YT-85005,1,7,2,0,1,2,87,parts-from-docx,
YT-82191,YT-82191,1,6,2,0,1,1,39,parts-from-docx,
YT-85333,YT-85333,1,5,2,0,1,1,31,parts-from-docx,
YT-82176,YT-82176,1,4,2,0,1,1,230,parts-from-docx,
YT-82190,YT-82190,1,3,1,1,0,1,20,parts-from-docx,
YT-84872,YT-84872,1,3,1,0,1,0,103,parts-from-docx,
YT-85371,YT-85371,1,5,2,0,1,1,72,parts-from-docx,
YT-82185,YT-82185,1,3,2,0,0,1,96,parts-from-docx,
YT-82380,YT-82380,1,5,1,1,1,1,70,parts-from-docx,
YT-82208,YT-82208,1,5,2,0,1,1,41,parts-from-docx,
YT-82903,YT-82903 82903,2,5,3,0,1,1,15,parts-from-docx,
YT-82802,YT-82802,1,4,1,1,0,0,4,parts-from-docx,
YT-84868,YT-84868,1,4,1,0,1,0,1,parts-from-docx,
YT-82280,YT-82280,1,2,1,1,0,0,112,parts-from-docx,
YT-82194,YT-82194,1,4,1,0,1,0,74,parts-from-docx,
YT-85013_YT-85014,YT-85013 YT-85014,2,8,3,0,3,1,59,parts-from-docx,
YT-82192,YT-82192,1,4,1,0,1,0,63,parts-from-docx,
YT-85222 & YT-85223,YT-85222 YT-85223 11082 11017,4,8,3,0,3,0,175,parts-from-docx,
YT-84870,YT-84870,1,5,2,0,2,0,88,parts-from-docx,
YT-82173,YT-82173 180926,2,3,1,0,1,0,151,parts-from-docx,
YT-82141,YT-82141,1,3,1,1,1,0,69,parts-from-docx,
YT-82158,YT-82158,1,5,1,1,1,0,101,parts-from-docx,
YT-82138,YT-82138,1,5,1,0,3,1,7,parts-from-docx,
YT-82152,YT-82152,1,5,2,0,2,0,69,parts-from-docx,
YT-82135,YT-82135 82135,2,3,2,0,0,1,169,parts-from-docx,
YT-82147,YT-82147,1,4,1,0,1,0,184,parts-from-docx,
YT-82780 & YT-82781,YT-82780 YT-82781,2,5,2,1,0,2,59,parts-from-docx,
YT-82133,YT-82133 82133,2,5,3,0,1,1,73,parts-from-docx,
YT-82118,YT-82118,1,3,1,0,1,0,108,parts-from-docx,
YT-82281,YT-82281,1,5,1,1,1,1,79,parts-from-docx,
YT-82174,YT-82174 180926,2,4,1,0,2,0,152,parts-from-docx,
YT-85301,YT-85301,1,5,2,0,0,1,101,parts-from-docx,
YT-82451,YT-82451,1,4,2,0,1,1,16,parts-from-docx,
YT-83096,YT-83096,1,1,1,0,0,0,13,parts-from-docx,
YT-82904,YT-82904,1,4,2,0,1,1,28,parts-from-docx,
YT-82070,YT-82070 82070,2,4,1,1,1,1,48,parts-from-docx,
YT-82282,YT-82282,1,5,2,0,1,1,37,parts-from-docx,
YT-84800,YT-84800,1,5,2,0,1,0,93,parts-from-docx,
YT-82101,YT-82101,1,3,2,0,1,0,57,parts-from-docx,
YT-84790,YT-84790 YT-84780,2,4,2,0,1,0,160,parts-from-docx,
YT-84893,YT-84893 84893,2,3,1,0,0,1,149,parts-from-docx,
YT-85483,YT-85483,1,1,1,0,0,0,130,parts-from-docx,
YT-85330,YT-85330,1,6,2,0,1,1,31,parts-from-docx,
YT-82048,YT-82048,1,3,1,0,1,0,1,parts-from-docx,
YT-82168,YT-82168,1,5,1,0,1,1,113,parts-from-docx,
YT-82457,YT-82457 82457,2,9,2,0,2,2,27,parts-from-docx,
YT-84820,YT-84820,1,18,4,0,14,0,174,parts-from-docx,
YT-85482,YT-85482,1,4,2,0,2,0,100,parts-from-docx,
YT-85010,YT-85010 85010,2,7,2,0,2,1,73,parts-from-docx,
YT-82834 & YT-82835,YT-82834 YT-82835,2,3,2,1,0,0,58,parts-from-docx,
YT-82265,YT-82265 160154,2,3,1,0,1,0,3,parts-from-docx,
YT-82806 & YT-82807 & YT-828061,YT-82806 YT-82807 YT-828061,3,7,2,1,2,1,42,parts-from-docx,
YT-85286,YT-85286 110755 240115 240116,4,10,3,0,3,2,57,parts-from-docx,
YT-82060,YT-82060,1,4,1,1,0,0,59,parts-from-docx,
YT-82100,YT-82100,1,3,1,1,1,0,52,parts-from-docx,
YT-82005,YT-82005 250530,2,6,2,0,2,1,104,parts-from-docx,
YT-82796 & YT-82797,YT-82796 YT-82797 82797 82796,4,7,2,2,1,2,65,parts-from-docx,
YT-82172,YT-82172 180926,2,4,2,0,1,0,150,parts-from-docx,
YT-82267,YT-82267,1,3,1,0,1,0,102,parts-from-docx,
YT-84910,YT-84910,1,11,1,0,5,5,183,parts-from-docx,
YT-82151,YT-82151 180921,2,5,2,0,2,0,88,parts-from-docx,
YT-85521 - ogrodówka spalinowa 2024-2025,YT-85521,1,3,1,0,1,0,1,parts-from-docx,
YT-82123,YT-82123,1,3,0,1,1,1,0,drawing-only,
YT-82818 & YT-82819,YT-82818 YT-82819 82819 82818,4,7,2,3,1,1,44,parts-from-docx,
YT-82075&YT-82076,YT-82075 YT-82076 014020,3,4,1,0,2,0,0,drawing-only,
YT-82025,YT-82025,1,3,1,0,1,0,53,parts-from-docx,
YT-82163,YT-82163,1,5,2,0,0,2,47,parts-from-docx,
YT-82223,YT-82223 82223,2,5,1,1,1,2,59,parts-from-docx,
YT-85205,YT-85205,1,4,2,0,1,1,97,parts-from-docx,
YT-85481,YT-85481,1,5,2,0,1,1,74,parts-from-docx,
YT-82389,YT-82389,1,5,2,0,1,1,125,parts-from-docx,
YT-82034,YT-82034 82034,2,4,1,1,1,1,42,parts-from-docx,
YT-82050,YT-82050,1,4,1,1,1,1,42,parts-from-docx,
YT-82044,YT-82044 82044,2,4,1,1,1,1,71,parts-from-docx,
YT-82002,YT-82002 82002,2,6,1,1,1,2,97,parts-from-docx,
YT-82794 & YT-82795,YT-82794 YT-82795 82794 82795,4,8,2,3,1,2,59,parts-from-docx,
YT-84860,YT-84860,1,6,2,0,1,3,175,parts-from-docx,
YT-81980,YT-81980 81980,2,6,3,0,1,1,79,parts-from-docx,
YT-81953,YT-81953,1,3,2,0,0,0,67,parts-from-docx,
YT-81401,YT-81401,1,5,2,0,1,1,34,parts-from-docx,
YT-82015,YT-82015 041006,2,4,1,1,1,0,91,parts-from-docx,
YT-81956,YT-81956 022004,2,5,2,0,1,1,64,parts-from-docx,
YT-81400,YT-81400,1,5,2,0,1,1,26,parts-from-docx,
YT-81382,YT-81382,1,5,2,0,1,1,19,parts-from-docx,
YT-81420,YT-81420,1,5,2,0,1,1,21,parts-from-docx,
YT-81358,YT-81358,1,4,2,0,1,0,43,parts-from-docx,
YT-85453,YT-85453 YT-85451,2,4,2,0,0,1,125,parts-from-docx,
YT-82115,YT-82115 82115,2,4,1,1,1,1,106,parts-from-docx,
YT-81380,YT-81380,1,5,2,0,1,1,17,parts-from-docx,
YT-82165,YT-82165,1,3,1,0,1,0,156,parts-from-docx,
YT-82355,YT-82355,1,6,1,1,1,1,44,parts-from-docx,
YT-82125,YT-82125 82125,2,4,1,1,1,1,104,parts-from-docx,
YT-85283,YT-85283,1,7,2,0,2,1,59,parts-from-docx,
YT-82855,YT-82855 82855,2,6,1,3,2,0,33,parts-from-docx,
YT-55600,YT-55600,1,3,1,1,0,1,51,parts-from-docx,
YT-55585,YT-55585 07305,2,7,3,0,1,2,54,parts-from-docx,
YT-82134,YT-82134,1,3,1,0,1,0,0,drawing-only,
YT-36177,YT-36177,1,4,2,0,1,1,62,parts-from-docx,
YT-55556,YT-55556,1,3,1,1,1,0,35,parts-from-docx,
YT-72920,YT-72920,1,4,2,0,1,1,33,parts-from-docx,
YT-55557,YT-55557,1,2,1,0,0,1,14,parts-from-docx,
YT-30522,YT-30522,1,6,2,0,2,1,17,parts-from-docx,
YT-55581,YT-55581,1,7,1,2,2,2,23,parts-from-docx,
YT-36091,YT-36091,1,3,1,0,1,0,45,parts-from-docx,
YT-36092,YT-36092,1,4,1,1,1,1,45,parts-from-docx,
YT-36171,YT-36171,1,5,1,2,0,2,56,parts-from-docx,
YT-30521,YT-30521,1,6,2,0,2,1,16,parts-from-docx,
YT-36112,YT-36112,1,4,2,0,1,1,33,parts-from-docx,
"YT-82790, YT-82791, YT-82792",YT-82790 YT-82791 YT-82792 60202,4,5,1,0,2,0,4,parts-from-docx,
YT-82288,YT-82288,1,4,1,1,1,1,23,parts-from-docx,
YT-82130,YT-82130,1,3,1,1,0,1,122,parts-from-docx,
YT-82020,YT-82020,1,3,2,0,0,1,39,parts-from-docx,
YT-36150,YT-36150,1,3,1,0,1,0,30,parts-from-docx,
