zun;name;spec;material;linkedPartCount;linkedModelCount;matchedDrawingModelCount;brands;linkedPartIndexes;linkedModels
ZUN-000001;ŁOŻYSKO KULKOWE 606 2Z;606 2Z;;7;5;4;FLO, YATO;Z7812117, Z7941046, ZY82097-11, ZY8234023, ZY82350-062, ZY82350-107, ZY828377-30;78121, 79410, YT-82097, YT-82340, YT-82350
ZUN-000002;ŁOŻYSKO KULKOWE 606 2RS;606 2RS;;4;4;4;STHOR, YATO;Z7905342, ZY821591-40, ZY82240-65, ZY82355-013;79053, YT-82159, YT-82240, YT-82355
ZUN-000003;ŁOŻYSKO KULKOWE 607 2Z;607 2Z;stal;64;52;50;FLO, LUND, STHOR, YATO;Z7885430, Z7899219, Z7899516, Z7899716, Z7900416, Z7900525, Z7900720, Z7901616, Z7901824, Z7902047, Z79049048, Z79094027, Z79095027, Z7909902, Z79104V231, Z7910531, Z7910831, Z7911334, Z7911629, Z79119028, Z7923817, Z79239019, Z7924024, Z7927556, Z7930910, Z7944218, Z7944404, Z7947412, Z7947512, Z7947614, Z7947848, Z7947910, Z7948110, Z7948223, ZY09741024, ZY09742024, ZY8203026, ZY82034-17, ZY8203526, ZY82036023, ZY82037035, ZY8204022, ZY8204027, ZY82044038, ZY8205014, ZY8205022, ZY8205113, ZY8205120, ZY82060-39, ZY8207031, ZY8209019, ZY8209536, ZY82098-14, ZY8220039, ZY8222026, ZY8222329, ZY8227034, ZY8227137, ZY8227256, ZY82770-55, ZY828075-29, ZY82880-27, ZY84790-09, ZY84800-30;78854, 78992, 78995, 78997, 79004, 79005, 79007, 79016, 79018, 79020, 79049, 79094, 79095, 79099, 79104, 79105, 79108, 79113, 79116, 79119, 79238, 79239, 79240, 79275, 79309, 79442, 79444, 79474, 79475, 79476, 79478, 79479, 79481, 79482, YT-82034, YT-82035, YT-82036, YT-82037, YT-82040, YT-82044, YT-82050, YT-82051, YT-82060, YT-82070, YT-82098, YT-82200, YT-82220, YT-82223, YT-82770, YT-82880, YT-84790, YT-84800
ZUN-000004;ŁOŻYSKO KULKOWE 607 2RS;607 2RS;stal;39;35;35;FLO, STHOR, YATO;Z7901309, Z7905366, Z79054078, Z79076091, Z79124-25, Z7925235, Z7925335, Z7925422, Z7925722, Z79307-032, Z7941524, Z7941619, ZY82020-27, ZY82080-19, ZY82089-25, ZY8209102, ZY8209402, ZY82097-27, ZY8210026, ZY82101-30, ZY82115063, ZY82120046, ZY82122079, ZY8214042, ZY8214125, ZY8215059, ZY82172047, ZY8223003, ZY82265-05, ZY82330-29, ZY8234032, ZY82341-23, ZY82341-46, ZY82350-025, ZY82355-052, ZY82375-40, ZY82398-34, ZY82816-046, ZY828294-24;79013, 79053, 79054, 79076, 79124, 79252, 79253, 79254, 79257, 79307, 79415, 79416, YT-82020, YT-82080, YT-82089, YT-82094, YT-82097, YT-82100, YT-82101, YT-82115, YT-82120, YT-82122, YT-82141, YT-82172, YT-82230, YT-82265, YT-82330, YT-82340, YT-82341, YT-82350, YT-82355, YT-82375, YT-82398, YT-82816, YT-82829
ZUN-000005;ŁOŻYSKO KULKOWE 608 2Z;608 2Z;stal;114;95;82;FLO, LUND, STHOR, VOREL, YATO;Z57091030, Z5709234, Z5709730, Z67707-08, Z7885221, Z7885407, Z7894531, Z7895027, Z7899215, Z7899514, Z7899714, Z7900215, Z7900515, Z7900715, Z7900915, Z7901215, Z7901515, Z7901614, Z7901818, Z7902031, Z7902045, Z7902315, Z7902414, Z7902624, Z7902726, Z79029055, Z79036060, Z79049037, Z7909826, Z7911431, Z7912028, Z79125-26, Z79125-30, Z7912931, Z7914133, Z7923815, Z79239017, Z7924015, Z7927522, Z7941026, Z7941318, Z7942020, Z7944222, Z7944407, Z7947316, Z7947417, Z7947530, Z7947619, Z7947847, Z7948118, Z7948216, Z7948428, Z81060-12, Z81070-20, Z81072-10, Z8111025, Z8111711, Z8111819, Z8111917, Z8294213, Z8294228, ZY095331, ZY0954023, ZY0963235, ZY09676-29, ZY098016, ZY09802-21, ZY0981V219, ZY82021-27, ZY8203014, ZY82034-10, ZY8203514, ZY82036016, ZY82037023, ZY8204020, ZY8205020, ZY8205118, ZY8207029, ZY82105-14, ZY82120051, ZY82125069, ZY82127072, ZY82130068, ZY82131-055, ZY82131-090, ZY82163-06, ZY82163-10, ZY82163-13, ZY82163-20, ZY82165-045, ZY82173036, ZY82185-039, ZY8219512, ZY82196-24, ZY8222024, ZY8222326, ZY8227032, ZY82280079, ZY82281-44, ZY82605-20, ZY82606-20, ZY82607-38, ZY82608-36, ZY82609-35, ZY828135-18, ZY828135-41, ZY82904-04, ZY82922-15, ZY84790-15, ZY84800-18, ZY84840-119, ZY84850-109, ZY849200805, ZY850802402;57091, 57092, 57097, 67707, 78852, 78854, 78945, 78950, 78992, 78995, 78997, 79002, 79005, 79007, 79009, 79012, 79015, 79016, 79018, 79020, 79023, 79024, 79026, 79027, 79029, 79036, 79049, 79098, 79114, 79120, 79125, 79129, 79141, 79238, 79239, 79240, 79275, 79410, 79413, 79420, 79442, 79444, 79473, 79474, 79475, 79476, 79478, 79481, 79482, 79484, 81060, 81070, 81072, 81110, 81117, 81118, 81119, 82942, YT-09540, YT-09676, YT-82021, YT-82034, YT-82035, YT-82036, YT-82037, YT-82040, YT-82050, YT-82051, YT-82070, YT-82105, YT-82120, YT-82125, YT-82127, YT-82130, YT-82131, YT-82163, YT-82165, YT-82173, YT-82185, YT-82196, YT-82220, YT-82223, YT-82280, YT-82281, YT-82605, YT-82606, YT-82607, YT-82608, YT-82609, YT-82813, YT-82904, YT-82922, YT-84790, YT-84800, YT-84840
ZUN-000006;ŁOŻYSKO KULKOWE 608 2RS;608 2RS;stal;51;41;40;FLO, LUND, STHOR, YATO;Z7894815, Z7900413, Z7901311, Z7903051, Z7904664, Z79048041, Z7905358, Z79076089, Z79093-26, Z79093-30, Z7933217, Z7941542, Z7941642, Z7947916, ZY81956-28, ZY82015-61, ZY8209406, ZY82096-33, ZY82097-20, ZY82098-22, ZY8210020, ZY82101-26, ZY821023-33, ZY821024-33, ZY82104-15, ZY82104-29, ZY82110-14, ZY82123-075, ZY82133-45, ZY8214022, ZY8214152, ZY82144-24, ZY8215023, ZY821533-24, ZY8215353, ZY821591-22, ZY82207-06, ZY8223017, ZY82240-25, ZY82265-10, ZY8234026, ZY82341-38, ZY82398-32, ZY82600-05, ZY82600-09, ZY82806-20, ZY828294-20, ZY84840-110, ZY85200-43, ZY85205-70, ZY85208-070;78948, 79004, 79013, 79030, 79046, 79048, 79053, 79076, 79093, 79332, 79415, 79416, 79479, YT-81956, YT-82015, YT-82094, YT-82096, YT-82097, YT-82098, YT-82100, YT-82101, YT-82110, YT-82123, YT-82133, YT-82141, YT-82144, YT-82159, YT-82207, YT-82230, YT-82240, YT-82265, YT-82340, YT-82341, YT-82398, YT-82600, YT-82806, YT-82829, YT-84840, YT-85200, YT-85205, YT-85208
ZUN-000007;ŁOŻYSKO KULKOWE 609 2Z;609 2Z;;2;2;0;;Z7944527, Z7945019;79445, 79450
ZUN-000008;ŁOŻYSKO KULKOWE 609 2RS;609 2RS;stal/tworzywo;8;7;5;STHOR, YATO;Z7885242, Z7885342, Z7885415, ZY82044044, ZY82045-35, ZY8223022, ZY82607-34, ZY828075-27;78852, 78853, 78854, YT-82044, YT-82045, YT-82230, YT-82607
ZUN-000009;ŁOŻYSKO KULKOWE 609 2RS;609 2RS osłona metalowa;;6;6;6;STHOR, YATO;Z79049046, Z7905364, Z79054076, ZY82115061, ZY82120049, ZY82122063;79049, 79053, 79054, YT-82115, YT-82120, YT-82122
ZUN-000010;ŁOŻYSKO KULKOWE 625 2Z;625 2Z;;2;1;0;;Z81060-19, ZY098010;81060
